STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Ahmedabad,1993-01-15 05:00:00,0.0,0.0,1993,1,5,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0
Ahmedabad,1993-01-15 06:00:00,0.0,0.0,1993,1,6,1.0,6.123233995736766e-17,0.0,1.0,0.0
Ahmedabad,1993-01-15 07:00:00,0.02,0.02,1993,1,7,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0
Ahmedabad,1993-01-15 08:00:00,0.22,0.44,1993,1,8,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.22
Ahmedabad,1993-01-15 09:00:00,0.4,1.18,1993,1,9,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.7799999999999999
Ahmedabad,1993-01-15 10:00:00,0.52,1.85,1993,1,10,0.49999999999999994,-0.8660254037844387,0.0,1.0,1.33
Ahmedabad,1993-01-15 11:00:00,0.59,2.39,1993,1,11,0.258819045102521,-0.9659258262890682,0.0,1.0,1.8000000000000003
Ahmedabad,1993-01-15 12:00:00,0.61,2.6,1993,1,12,1.2246467991473532e-16,-1.0,0.0,1.0,1.9900000000000002
Ahmedabad,1993-01-15 13:00:00,0.63,2.58,1993,1,13,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1.9500000000000002
Ahmedabad,1993-01-15 14:00:00,0.64,2.36,1993,1,14,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1.7199999999999998
Ahmedabad,1993-01-15 15:00:00,0.57,1.87,1993,1,15,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1.3000000000000003
Ahmedabad,1993-01-15 16:00:00,0.46,1.25,1993,1,16,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.79
Ahmedabad,1993-01-15 17:00:00,0.3,0.53,1993,1,17,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.23000000000000004
Ahmedabad,1993-01-15 18:00:00,0.05,0.06,1993,1,18,-1.0,-1.8369701987210297e-16,0.0,1.0,0.009999999999999995
Ahmedabad,1993-01-15 19:00:00,0.0,0.0,1993,1,19,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0
Ahmedabad,1993-01-15 20:00:00,0.0,0.0,1993,1,20,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0
Ahmedabad,1993-02-15 05:00:00,0.0,0.0,1993,2,5,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0
Ahmedabad,1993-02-15 06:00:00,0.0,0.0,1993,2,6,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0
Ahmedabad,1993-02-15 07:00:00,0.07,0.09,1993,2,7,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.01999999999999999
Ahmedabad,1993-02-15 08:00:00,0.34,0.72,1993,2,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.37999999999999995
Ahmedabad,1993-02-15 09:00:00,0.53,1.5,1993,2,9,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.97
