INDEX,YEAR,MN,5HR,6HR,7HR,8HR,9HR,10HR,11HR,12HR,13HR,14HR,15HR,16HR,17HR,18HR,19HR,20HR,DTRAD,BHSS
42667,1993,1,0,0,0,0.01,0.18,0.29,0.35,0.44,0.39,0.37,0.28,0.19,0.01,0,0,0,2.52,0
42667,1993,3,0,0,0.21,0.6,0.84,1,1.07,1.08,1.07,1.04,0.99,0.84,0.61,0.24,0,0,9.6,0
42667,1993,6,0,0.03,0.29,0.67,0.96,1.25,1.3,1.32,1.33,1.18,0.97,0.75,0.48,0.18,0.01,0,10.71,0
42667,1993,7,0,0,0.06,0.31,0.66,1,1.32,1.49,1.38,1.27,0.98,0.68,0.37,0.07,0,0,9.62,0
42667,1993,8,0,0,0.04,0.32,0.69,1.08,1.31,1.38,1.35,1.29,0.97,0.63,0.37,0.03,0,0,9.46,0
42667,1993,9,0,0,0.06,0.39,0.81,1.1,1.35,1.33,1.34,1.16,0.92,0.61,0.32,0.08,0,0,9.46,0
42667,1993,10,0,0,0.08,0.39,0.63,0.81,0.93,0.98,0.88,0.88,0.87,0.64,0.37,0.1,0,0,7.56,0
42667,1993,11,0,0,0.04,0.27,0.43,0.53,0.58,0.62,0.59,0.62,0.6,0.47,0.28,0.04,0,0,5.08,0
42667,1993,12,0,0,0.01,0.15,0.33,0.48,0.53,0.56,0.59,0.54,0.46,0.35,0.17,0.01,0,0,4.18,0
42667,1994,1,0,0,0,0.15,0.41,0.58,0.69,0.68,0.69,0.58,0.49,0.34,0.17,0.01,0,0,4.79,0
42667,1994,2,0,0,0.07,0.29,0.47,0.58,0.64,0.64,0.61,0.61,0.55,0.41,0.26,0.07,0,0,5.21,0
42667,1994,3,0,0,0.07,0.25,0.37,0.42,0.45,0.47,0.47,0.46,0.42,0.36,0.24,0.06,0,0,4.05,0
42667,1994,5,0,0.07,0.43,0.66,0.81,0.88,0.95,0.97,1,0.99,0.93,0.8,0.6,0.34,0.05,0,9.49,0
42667,1994,7,0,0,0.02,0.13,0.3,0.48,0.71,0.82,0.88,0.87,0.7,0.5,0.2,0.04,0,0,5.66,0
42667,1994,11,0,0,0.03,0.27,0.48,0.62,0.68,0.71,0.7,0.67,0.62,0.46,0.26,0.02,0,0,5.53,0
42667,1995,1,0,0,0.01,0.2,0.5,0.68,0.78,0.77,0.75,0.73,0.65,0.49,0.22,0.01,0,0,5.8,0
42667,1995,4,0,0.02,0.3,0.57,0.77,0.91,1,1.02,1.02,1.04,0.92,0.77,0.54,0.21,0,0,9.08,0
42667,1995,5,0,0.06,0.42,0.75,0.96,1.09,1.14,1.28,1.33,1.34,1.26,1.07,0.76,0.45,0.07,0,11.97,0
42667,1995,7,0,0.08,0.44,0.75,1,1.34,1.58,1.67,1.96,1.79,1.43,1.12,0.76,0.41,0.09,0,14.42,0
42667,1995,9,0,0.01,0.27,0.67,1.16,1.45,1.97,1.94,1.83,1.42,1.19,1.11,0.77,0.31,0.01,0,14.13,0
42667,1996,5,0,0.03,0.31,0.49,0.58,0.62,0.64,0.7,0.77,0.81,0.74,0.65,0.5,0.31,0.03,0,7.18,0
42667,1996,7,0,0.03,0.27,0.52,0.76,0.95,1.17,1.35,1.33,1.04,0.88,0.68,0.42,0.17,0.01,0,9.59,0
42667,1996,8,0,0.13,0.36,0.7,0.92,1.09,1.2,1.21,1.35,1.27,0.97,0.8,0.53,0.28,0.09,0,10.9,0
42667,1996,9,0,0.02,0.22,0.46,0.74,0.89,1.08,1.11,1.1,1.01,0.86,0.69,0.46,0.14,0,0,8.79,0
42667,1997,6,0,0.03,0.31,0.56,0.93,1.03,1.23,1.23,1.17,1.06,0.9,0.8,0.65,0.45,0.07,0,10.41,0
42667,1997,7,0,0.02,0.22,0.49,0.81,0.99,1.1,1.19,1.27,1.09,0.98,0.74,0.5,0.29,0.05,0,9.75,0
42667,1997,8,0,0.02,0.22,0.56,0.9,1.09,1.25,1.34,1.34,1.26,1.22,1.04,0.67,0.28,0.03,0,11.23,0
42667,1997,9,0,0.01,0.16,0.47,0.79,1.18,1.38,1.36,1.37,1.22,1.02,0.89,0.67,0.31,0.05,0,10.87,0
42667,1997,11,0,0,0.05,0.32,0.62,0.77,0.81,0.89,0.94,0.96,0.78,0.6,0.31,0.06,0,0,7.12,0
42667,1997,12,0,0,0.01,0.19,0.43,0.63,0.78,0.85,0.9,0.8,0.71,0.48,0.27,0.04,0,0,6.1,0
42667,1998,1,0,0,0.02,0.23,0.43,0.62,0.74,0.83,0.82,0.7,0.55,0.4,0.2,0.01,0,0,5.58,0
42667,1998,2,0,0,0.07,0.25,0.38,0.44,0.47,0.49,0.49,0.51,0.46,0.37,0.21,0.04,0,0,4.19,0
42667,1998,3,0,0,0.14,0.36,0.47,0.53,0.6,0.6,0.59,0.56,0.49,0.4,0.23,0.05,0,0,5.02,0
42667,1998,4,0,0,0.27,0.5,0.57,0.66,0.72,0.73,0.73,0.71,0.66,0.5,0.27,0.05,0,0,6.38,0
42667,1998,8,0,0.03,0.25,0.56,0.83,1.08,1.14,1.13,0.99,0.85,0.73,0.62,0.37,0.15,0.02,0,8.76,0
42667,1998,10,0,0.01,0.14,0.36,0.51,0.62,0.79,0.82,0.85,0.79,0.68,0.54,0.29,0.07,0,0,6.47,0
42667,1998,11,0,0,0.03,0.23,0.36,0.48,0.57,0.63,0.64,0.59,0.51,0.38,0.19,0.03,0,0,4.63,0
42667,1999,1,0,0,0.02,0.2,0.3,0.38,0.45,0.47,0.49,0.47,0.43,0.29,0.11,0.01,0,0,3.61,0
42667,1999,3,0,0,0.14,0.32,0.36,0.4,0.43,0.44,0.47,0.43,0.42,0.39,0.26,0.1,0.01,0,4.17,0
42667,1999,4,0,0.01,0.23,0.38,0.49,0.56,0.61,0.6,0.6,0.58,0.55,0.51,0.41,0.23,0.01,0,5.75,0
42667,1999,7,0,0.03,0.24,0.5,0.75,1,1.13,1.21,1.15,1.14,0.92,0.74,0.5,0.29,0.07,0,9.66,0
42667,1999,8,0,0.03,0.25,0.56,0.82,1.09,1.22,1.26,1.4,1.33,1.18,0.86,0.62,0.4,0.08,0,11.09,0
42667,1999,9,0,0.05,0.3,0.58,0.88,1.12,1.3,1.37,1.33,1.22,1.03,0.9,0.55,0.23,0.02,0,10.86,0
42667,2000,2,0,0,0.09,0.53,0.67,0.68,0.74,0.76,0.75,0.71,0.65,0.58,0.35,0.05,0,0,6.57,0
42667,2000,3,0,0,0.13,0.54,0.75,0.86,0.91,0.95,0.97,0.99,0.96,0.81,0.49,0.11,0,0,8.46,0
