INDEX,YEAR,MN,5HR,6HR,7HR,8HR,9HR,10HR,11HR,12HR,13HR,14HR,15HR,16HR,17HR,18HR,19HR,20HR,DTRAD,BHSS
42647,1993,1,0,0,0.02,0.44,1.18,1.85,2.39,2.6,2.58,2.36,1.87,1.25,0.53,0.06,0,0,17.12,9.4
42647,1993,2,0,0,0.09,0.72,1.5,2.21,2.68,2.9,2.94,2.66,2.13,1.49,0.74,0.12,0,0,20.18,9.7
42647,1993,3,0,0,0.28,1.06,1.86,2.53,3.04,3.31,3.31,3.02,2.48,1.78,0.99,0.26,0.01,0,23.94,9.4
42647,1993,4,0,0.02,0.43,1.24,2.06,2.69,3.19,3.39,3.34,3.05,2.55,1.9,1.17,0.39,0.02,0,25.44,10.1
42647,1993,5,0,0.05,0.52,1.31,2.09,2.73,3.22,3.46,3.43,3.14,2.69,2.04,1.29,0.54,0.06,0,26.56,10.6
42647,1993,6,0,0.07,0.47,1.13,1.77,2.31,2.75,3.04,2.93,2.87,2.44,1.84,1.2,0.57,0.1,0,23.49,7.8
42647,1993,7,0,0.03,0.31,0.79,1.24,1.72,1.95,2,2.12,1.96,1.67,1.32,0.84,0.35,0.04,0,16.35,4.1
42647,1993,8,0,0.02,0.31,0.84,1.49,1.93,2.27,2.56,2.38,2.33,1.94,1.45,0.91,0.35,0.02,0,18.81,6
42647,1993,9,0,0,0.22,0.78,1.4,1.94,2.35,2.49,2.55,2.36,2.04,1.51,0.87,0.27,0.01,0,18.8,6.1
42647,1993,10,0,0,0.12,0.69,1.38,2.05,2.52,2.69,2.64,2.43,1.97,1.37,0.69,0.12,0,0,18.67,8.7
42647,1993,11,0,0,0.06,0.54,1.24,1.91,2.32,2.57,2.48,2.24,1.83,1.16,0.51,0.05,0,0,16.91,9
42647,1993,12,0,0,0.02,0.43,1.1,1.77,2.25,2.48,2.44,2.2,1.69,1.06,0.43,0.03,0,0,15.91,8.9
42647,1994,1,0,0,0.03,0.42,1.11,1.75,2.22,2.47,2.45,2.18,1.71,1.1,0.45,0.04,0,0,15.92,9
42647,1994,2,0,0,0.12,0.79,1.6,2.31,2.79,3.02,3.02,2.73,2.18,1.47,0.7,0.1,0,0,20.82,10.2
42647,1994,3,0,0,0.24,1.04,1.89,2.55,3.08,3.34,3.29,2.96,2.47,1.75,0.94,0.2,0,0,23.74,9.7
42647,1994,4,0,0.01,0.36,1.14,1.97,2.66,3.13,3.36,3.35,3.03,2.55,1.86,1.09,0.36,0.01,0,24.88,9.6
42647,1994,5,0,0.04,0.49,1.25,1.99,2.59,3.1,3.38,3.36,3.12,2.62,2,1.29,0.5,0.05,0,25.78,10.4
42647,1994,6,0,0.05,0.39,0.9,1.34,1.74,2,2.14,2.3,2.18,1.83,1.44,0.97,0.44,0.06,0,17.77,5.4
42647,1994,7,0,0.03,0.21,0.57,0.92,1.23,1.32,1.73,1.79,1.51,1.29,0.94,0.57,0.26,0.03,0,12.39,1.9
42647,1994,8,0,0.01,0.16,0.41,0.81,1.11,1.3,1.46,1.66,1.57,1.36,1.05,0.65,0.27,0.03,0,11.84,1.9
42647,1994,9,0,0,0.16,0.65,1.26,1.73,2.16,2.42,2.43,2.27,1.82,1.3,0.73,0.2,0,0,17.15,5.5
42647,1994,10,0,0,0.08,0.59,1.35,2.06,2.56,2.86,2.9,2.64,2.16,1.48,0.68,0.08,0,0,19.42,9.7
42647,1994,11,0,0,0.03,0.44,1.16,1.81,2.33,2.62,2.63,2.38,1.92,1.26,0.51,0.04,0,0,17.13,9.9
42647,1994,12,0,0,0.01,0.36,1.08,1.73,2.21,2.47,2.46,2.26,1.82,1.16,0.43,0.02,0,0,16,9.5
42647,1995,1,0,0,0.02,0.42,1.15,1.81,2.29,2.54,2.55,2.31,1.82,1.17,0.48,0.04,0,0,16.6,9.3
42647,1995,2,0,0,0.08,0.65,1.44,2.15,2.62,2.88,2.87,2.64,2.19,1.54,0.75,0.12,0,0,19.92,10.2
42647,1995,3,0,0,0.21,0.94,1.69,2.39,2.92,3.09,3.18,2.81,2.41,1.8,1.01,0.29,0.01,0,22.74,9.2
42647,1995,4,0,0.01,0.39,1.19,1.94,2.56,3.03,3.23,3.31,3.11,2.64,2.07,1.24,0.4,0.01,0,25.14,10
42647,1995,5,0,0.05,0.48,1.2,1.92,2.57,3.05,3.29,3.34,3.15,2.66,2.06,1.3,0.55,0.07,0,25.67,10.5
42647,1995,6,0,0.06,0.45,1.04,1.69,2.23,2.68,2.82,2.94,2.78,2.4,1.95,1.21,0.56,0.09,0,22.88,9.3
42647,1995,7,0,0.03,0.29,0.67,1.04,1.45,1.58,1.69,1.93,1.92,1.53,0.99,0.6,0.25,0.04,0,14.01,4
42647,1995,8,0,0.01,0.21,0.71,1.18,1.69,2.09,2.14,2.24,2.12,1.85,1.39,0.76,0.27,0.02,0,16.66,4.1
42647,1995,9,0,0,0.17,0.75,1.43,2.09,2.47,2.69,2.72,2.41,2.02,1.47,0.86,0.23,0,0,19.32,7.6
42647,1995,10,0,0,0.1,0.66,1.39,2.11,2.59,2.88,2.87,2.62,2.13,1.34,0.65,0.09,0,0,19.42,8.6
42647,1995,11,0,0,0.02,0.43,1.13,1.81,2.28,2.54,2.54,2.32,1.84,1.18,0.46,0.02,0,0,16.57,9.2
42647,1995,12,0,0,0.01,0.31,0.97,1.62,2.09,2.35,2.38,2.13,1.68,1.07,0.36,0.01,0,0,14.98,8.6
42647,1996,1,0,0,0.01,0.33,1.01,1.62,2.13,2.39,2.41,2.17,1.72,1.13,0.45,0.03,0,0,15.41,8.8
42647,1996,2,0,0,0.09,0.67,1.44,2.15,2.66,2.87,2.91,2.71,2.24,1.59,0.8,0.13,0,0,20.25,9.9
