STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2
Ahmedabad,1993-01-15 05:00:00,0.0,0.0
Ahmedabad,1993-01-15 06:00:00,0.0,0.0
Ahmedabad,1993-01-15 07:00:00,0.02,0.02
Ahmedabad,1993-01-15 08:00:00,0.22,0.44
Ahmedabad,1993-01-15 09:00:00,0.4,1.18
Ahmedabad,1993-01-15 10:00:00,0.52,1.85
Ahmedabad,1993-01-15 11:00:00,0.59,2.39
Ahmedabad,1993-01-15 12:00:00,0.61,2.6
Ahmedabad,1993-01-15 13:00:00,0.63,2.58
Ahmedabad,1993-01-15 14:00:00,0.64,2.36
Ahmedabad,1993-01-15 15:00:00,0.57,1.87
Ahmedabad,1993-01-15 16:00:00,0.46,1.25
Ahmedabad,1993-01-15 17:00:00,0.3,0.53
Ahmedabad,1993-01-15 18:00:00,0.05,0.06
Ahmedabad,1993-01-15 19:00:00,0.0,0.0
Ahmedabad,1993-01-15 20:00:00,0.0,0.0
Ahmedabad,1993-02-15 05:00:00,0.0,0.0
Ahmedabad,1993-02-15 06:00:00,0.0,0.0
Ahmedabad,1993-02-15 07:00:00,0.07,0.09
Ahmedabad,1993-02-15 08:00:00,0.34,0.72
Ahmedabad,1993-02-15 09:00:00,0.53,1.5
Ahmedabad,1993-02-15 10:00:00,0.65,2.21
Ahmedabad,1993-02-15 11:00:00,0.7,2.68
Ahmedabad,1993-02-15 12:00:00,0.71,2.9
Ahmedabad,1993-02-15 13:00:00,0.72,2.94
Ahmedabad,1993-02-15 14:00:00,0.7,2.66
Ahmedabad,1993-02-15 15:00:00,0.65,2.13
Ahmedabad,1993-02-15 16:00:00,0.53,1.49
Ahmedabad,1993-02-15 17:00:00,0.38,0.74
Ahmedabad,1993-02-15 18:00:00,0.1,0.12
Ahmedabad,1993-02-15 19:00:00,0.0,0.0
Ahmedabad,1993-02-15 20:00:00,0.0,0.0
Ahmedabad,1993-03-15 05:00:00,0.0,0.0
Ahmedabad,1993-03-15 06:00:00,0.0,0.0
Ahmedabad,1993-03-15 07:00:00,0.19,0.28
Ahmedabad,1993-03-15 08:00:00,0.47,1.06
Ahmedabad,1993-03-15 09:00:00,0.64,1.86
Ahmedabad,1993-03-15 10:00:00,0.73,2.53
Ahmedabad,1993-03-15 11:00:00,0.8,3.04
Ahmedabad,1993-03-15 12:00:00,0.8,3.31
Ahmedabad,1993-03-15 13:00:00,0.8,3.31
Ahmedabad,1993-03-15 14:00:00,0.79,3.02
Ahmedabad,1993-03-15 15:00:00,0.74,2.48
Ahmedabad,1993-03-15 16:00:00,0.65,1.78
Ahmedabad,1993-03-15 17:00:00,0.47,0.99
Ahmedabad,1993-03-15 18:00:00,0.18,0.26
Ahmedabad,1993-03-15 19:00:00,0.0,0.01
Ahmedabad,1993-03-15 20:00:00,0.0,0.0
Ahmedabad,1993-04-15 05:00:00,0.0,0.0
Ahmedabad,1993-04-15 06:00:00,0.02,0.02
Ahmedabad,1993-04-15 07:00:00,0.23,0.43
Ahmedabad,1993-04-15 08:00:00,0.42,1.24
Ahmedabad,1993-04-15 09:00:00,0.55,2.06
Ahmedabad,1993-04-15 10:00:00,0.67,2.69
Ahmedabad,1993-04-15 11:00:00,0.69,3.19
Ahmedabad,1993-04-15 12:00:00,0.73,3.39
Ahmedabad,1993-04-15 13:00:00,0.75,3.34
Ahmedabad,1993-04-15 14:00:00,0.75,3.05
Ahmedabad,1993-04-15 15:00:00,0.77,2.55
Ahmedabad,1993-04-15 16:00:00,0.67,1.9
Ahmedabad,1993-04-15 17:00:00,0.5,1.17
Ahmedabad,1993-04-15 18:00:00,0.23,0.39
Ahmedabad,1993-04-15 19:00:00,0.02,0.02
Ahmedabad,1993-04-15 20:00:00,0.0,0.0
Ahmedabad,1993-05-15 05:00:00,0.0,0.0
Ahmedabad,1993-05-15 06:00:00,0.05,0.05
Ahmedabad,1993-05-15 07:00:00,0.32,0.52
Ahmedabad,1993-05-15 08:00:00,0.57,1.31
Ahmedabad,1993-05-15 09:00:00,0.71,2.09
Ahmedabad,1993-05-15 10:00:00,0.78,2.73
Ahmedabad,1993-05-15 11:00:00,0.81,3.22
Ahmedabad,1993-05-15 12:00:00,0.81,3.46
Ahmedabad,1993-05-15 13:00:00,0.83,3.43
Ahmedabad,1993-05-15 14:00:00,0.85,3.14
Ahmedabad,1993-05-15 15:00:00,0.81,2.69
Ahmedabad,1993-05-15 16:00:00,0.73,2.04
Ahmedabad,1993-05-15 17:00:00,0.58,1.29
Ahmedabad,1993-05-15 18:00:00,0.32,0.54
Ahmedabad,1993-05-15 19:00:00,0.05,0.06
Ahmedabad,1993-05-15 20:00:00,0.0,0.0
Ahmedabad,1993-06-15 05:00:00,0.0,0.0
Ahmedabad,1993-06-15 06:00:00,0.06,0.07
Ahmedabad,1993-06-15 07:00:00,0.34,0.47
Ahmedabad,1993-06-15 08:00:00,0.69,1.13
Ahmedabad,1993-06-15 09:00:00,0.98,1.77
Ahmedabad,1993-06-15 10:00:00,1.15,2.31
Ahmedabad,1993-06-15 11:00:00,1.25,2.75
Ahmedabad,1993-06-15 12:00:00,1.28,3.04
Ahmedabad,1993-06-15 13:00:00,1.26,2.93
Ahmedabad,1993-06-15 14:00:00,1.24,2.87
Ahmedabad,1993-06-15 15:00:00,1.05,2.44
Ahmedabad,1993-06-15 16:00:00,0.86,1.84
Ahmedabad,1993-06-15 17:00:00,0.67,1.2
Ahmedabad,1993-06-15 18:00:00,0.39,0.57
Ahmedabad,1993-06-15 19:00:00,0.09,0.1
Ahmedabad,1993-06-15 20:00:00,0.0,0.0
Ahmedabad,1993-07-15 05:00:00,0.0,0.0
Ahmedabad,1993-07-15 06:00:00,0.03,0.03
Ahmedabad,1993-07-15 07:00:00,0.29,0.31
Ahmedabad,1993-07-15 08:00:00,0.66,0.79
Ahmedabad,1993-07-15 09:00:00,0.99,1.24
Ahmedabad,1993-07-15 10:00:00,1.26,1.72
Ahmedabad,1993-07-15 11:00:00,1.38,1.95
Ahmedabad,1993-07-15 12:00:00,1.41,2.0
Ahmedabad,1993-07-15 13:00:00,1.47,2.12
Ahmedabad,1993-07-15 14:00:00,1.3,1.96
Ahmedabad,1993-07-15 15:00:00,1.07,1.67
Ahmedabad,1993-07-15 16:00:00,0.87,1.32
